InputId,EncodedOutput
0,ability
1,able
2,abound
3,about
4,above
5,absorbing
6,abundant
7,accept
8,accessible
9,acclaim
10,accolade
11,accommodating
12,accomplished
13,according
14,account
15,accurate
16,across
17,act
18,action
19,activity
20,actually
21,add
22,address
23,administration
24,admit
25,adorable
26,adroit
27,adult
28,adventurous
29,affable
30,affect
31,affection
32,affirm
33,after
34,again
35,against
36,age
37,agency
38,agent
39,aglow
40,ago
41,agree
42,agreeable
43,agreement
44,ahead
45,air
46,all
47,allow
48,almost
49,alone
50,along
51,already
52,also
53,although
54,always
55,American
56,among
57,amount
58,amplify
59,amusing
60,analysis
61,and
62,Angelic
63,animal
64,another
65,answer
66,any
67,anyone
68,anything
69,appear
70,apply
71,approach
72,ardor
73,area
74,argue
75,arm
76,around
77,arrive
78,art
79,article
80,artist
81,as
82,ask
83,assume
84,at
85,attack
86,attention
87,attentive
88,attorney
89,audience
90,auspicious
91,authentic
92,author
93,authority
94,available
95,avoid
96,away
97,awesome
98,baby
99,back
100,bad
101,bag
102,ball
103,bank
104,bar
105,base
106,be
107,beat
108,beautiful
109,because
110,become
111,bed
112,before
113,begin
114,behavior
115,behind
116,believe
117,benefit
118,best
119,better
120,between
121,beyond
122,big
123,bill
124,billion
125,bit
126,black
127,blood
128,blue
129,board
130,body
131,book
132,born
133,both
134,box
135,boy
136,break
137,bring
138,brother
139,budget
140,build
141,building
142,business
143,but
144,buy
145,by
146,call
147,camera
148,campaign
149,can
150,cancer
151,candidate
152,capital
153,car
154,card
155,care
156,career
157,carry
158,case
159,catch
160,cause
161,cell
162,center
163,central
164,century
165,certain
166,certainly
167,chair
168,challenge
169,chance
170,change
171,character
172,charge
173,check
174,child
175,choice
176,choose
177,church
178,citizen
179,city
180,civil
181,claim
182,class
183,clear
184,clearly
185,close
186,coach
187,cold
188,collection
189,college
190,color
191,come
192,commercial
193,common
194,community
195,company
196,compare
197,computer
198,concern
199,condition
200,conference
201,Congress
202,consider
203,consumer
204,contain
205,continue
206,control
207,cost
208,could
209,country
210,couple
211,course
212,court
213,cover
214,create
215,crime
216,cultural
217,culture
218,cup
219,current
220,customer
221,cut
222,dark
223,data
224,daughter
225,day
226,dead
227,deal
228,death
229,debate
230,decade
231,decide
232,decision
233,deep
234,defense
235,degree
236,Democrat
237,democratic
238,describe
239,design
240,despite
241,detail
242,determine
243,develop
244,development
245,die
246,difference
247,different
248,difficult
249,dinner
250,direction
251,director
252,discover
253,discuss
254,discussion
255,disease
256,do
257,doctor
258,dog
259,door
260,down
261,draw
262,dream
263,drive
264,drop
265,drug
266,during
267,each
268,early
269,east
270,easy
271,eat
272,economic
273,economy
274,edge
275,education
276,effect
277,effort
278,eight
279,either
280,election
281,else
282,employee
283,end
284,energy
285,enjoy
286,enough
287,enter
288,entire
289,environment
290,environmental
291,especially
292,establish
293,even
294,evening
295,event
296,ever
297,every
298,everybody
299,everyone
300,everything
301,evidence
302,exactly
303,example
304,executive
305,exist
306,expect
307,experience
308,expert
309,explain
310,eye
311,face
312,fact
313,factor
314,fail
315,fall
316,family
317,far
318,fast
319,father
320,fear
321,federal
322,feel
323,feeling
324,few
325,field
326,fight
327,figure
328,fill
329,film
330,final
331,finally
332,financial
333,find
334,fine
335,finger
336,finish
337,fire
338,firm
339,first
340,fish
341,five
342,floor
343,fly
344,focus
345,follow
346,food
347,foot
348,for
349,force
350,foreign
351,forget
352,form
353,former
354,forward
355,four
356,free
357,friend
358,from
359,front
360,full
361,fund
362,future
363,game
364,garden
365,gas
366,general
367,generation
368,get
369,girl
370,give
371,glass
372,go
373,goal
374,good
375,government
376,great
377,green
378,ground
379,group
380,grow
381,growth
382,guess
383,gun
384,guy
385,hair
386,half
387,hand
388,hang
389,happen
390,happy
391,hard
392,have
393,he
394,head
395,health
396,hear
397,heart
398,heat
399,heavy
400,help
401,her
402,here
403,herself
404,high
405,him
406,himself
407,his
408,history
409,hit
410,hold
411,home
412,hope
413,hospital
414,hot
415,hotel
416,hour
417,house
418,how
419,however
420,huge
421,human
422,hundred
423,husband
424,I
425,idea
426,identify
427,if
428,image
429,imagine
430,impact
431,important
432,improve
433,in
434,include
435,including
436,increase
437,indeed
438,indicate
439,individual
440,industry
441,information
442,inside
443,instead
444,institution
445,interest
446,interesting
447,international
448,interview
449,into
450,investment
451,involve
452,issue
453,it
454,item
455,its
456,itself
457,job
458,join
459,just
460,keep
461,key
462,kid
463,kill
464,kind
465,kitchen
466,know
467,knowledge
468,land
469,language
470,large
471,last
472,late
473,later
474,laugh
475,law
476,lawyer
477,lay
478,lead
479,leader
480,learn
481,least
482,leave
483,left
484,leg
485,legal
486,less
487,let
488,letter
489,level
490,lie
491,life
492,light
493,like
494,likely
495,line
496,list
497,listen
498,little
499,live
500,local
501,long
502,look
503,lose
504,loss
505,lot
506,love
507,low
508,machine
509,magazine
510,main
511,maintain
512,major
513,majority
514,make
515,man
516,manage
517,management
518,manager
519,many
520,market
521,marriage
522,material
523,matter
524,may
525,maybe
526,me
527,mean
528,measure
529,media
530,medical
531,meet
532,meeting
533,member
534,memory
535,mention
536,message
537,method
538,middle
539,might
540,military
541,million
542,mind
543,minute
544,miss
545,mission
546,model
547,modern
548,moment
549,money
550,month
551,more
552,morning
553,most
554,mother
555,mouth
556,move
557,movement
558,movie
559,Mr
560,Mrs
561,much
562,music
563,must
564,my
565,myself
566,name
567,nation
568,national
569,natural
570,nature
571,near
572,nearly
573,necessary
574,need
575,network
576,never
577,new
578,news
579,newspaper
580,next
581,nice
582,night
583,no
584,none
585,nor
586,north
587,not
588,note
589,nothing
590,notice
591,noun
592,now
593,number
594,occur
595,of
596,off
597,offer
598,office
599,officer
600,official
601,often
602,oh
603,oil
604,ok
605,old
606,on
607,once
608,one
609,only
610,onto
611,open
612,operation
613,opportunity
614,option
615,or
616,order
617,organization
618,other
619,others
620,our
621,out
622,outside
623,over
624,own
625,owner
626,page
627,pain
628,painting
629,paper
630,parent
631,part
632,participant
633,particular
634,particularly
635,partner
636,party
637,pass
638,past
639,patient
640,pattern
641,pay
642,peace
643,people
644,per
645,perform
646,performance
647,perhaps
648,period
649,person
650,personal
651,phone
652,physical
653,pick
654,picture
655,piece
656,place
657,plan
658,plant
659,play
660,player
661,PM
662,point
663,police
664,policy
665,political
666,politics
667,poor
668,popular
669,population
670,position
671,positive
672,possible
673,power
674,practice
675,prepare
676,present
677,president
678,pressure
679,pretty
680,prevent
681,price
682,private
683,probably
684,problem
685,process
686,produce
687,product
688,production
689,professional
690,professor
691,program
692,project
693,property
694,protect
695,prove
696,provide
697,public
698,pull
699,purpose
700,push
701,put
702,quality
703,question
704,quickly
705,quite
706,race
707,radio
708,raise
709,range
710,rate
711,rather
712,reach
713,read
714,ready
715,real
716,reality
717,realize
718,really
719,reason
720,receive
721,recent
722,recently
723,recognize
724,record
725,red
726,reduce
727,reflect
728,region
729,relate
730,relationship
731,religious
732,remain
733,remember
734,remove
735,report
736,represent
737,Republican
738,require
739,research
740,resource
741,respond
742,response
743,responsibility
744,rest
745,result
746,return
747,reveal
748,rich
749,right
750,rise
751,risk
752,road
753,rock
754,role
755,room
756,rule
757,run
758,safe
759,same
760,save
761,say
762,scene
763,school
764,science
765,scientist
766,score
767,sea
768,season
769,seat
770,second
771,section
772,security
773,see
774,seek
775,seem
776,sell
777,send
778,senior
779,sense
780,series
781,serious
782,serve
783,service
784,set
785,seven
786,several
787,sex
788,sexual
789,shake
790,share
791,she
792,shoot
793,short
794,shot
795,should
796,shoulder
797,show
798,side
799,sign
800,significant
801,similar
802,simple
803,simply
804,since
805,sing
806,single
807,sister
808,sit
809,site
810,situation
811,six
812,size
813,skill
814,skin
815,small
816,smile
817,so
818,social
819,society
820,soldier
821,some
822,somebody
823,someone
824,something
825,sometimes
826,son
827,song
828,soon
829,sort
830,sound
831,source
832,south
833,southern
834,space
835,speak
836,special
837,specific
838,speech
839,spend
840,sport
841,spring
842,staff
843,stage
844,stand
845,standard
846,star
847,start
848,state
849,statement
850,station
851,stay
852,step
853,still
854,stock
855,stop
856,store
857,story
858,strategy
859,street
860,strong
861,structure
862,student
863,study
864,stuff
865,style
866,subject
867,success
868,successful
869,such
870,suddenly
871,suffer
872,suggest
873,summer
874,support
875,sure
876,surface
877,system
878,table
879,take
880,talk
881,task
882,tax
883,teach
884,teacher
885,team
886,technology
887,television
888,tell
889,ten
890,tend
891,term
892,test
893,than
894,thank
895,that
896,the
897,their
898,them
899,themselves
900,then
901,theory
902,there
903,these
904,they
905,thing
906,think
907,third
908,this
909,those
910,though
911,thought
912,thousand
913,threat
914,three
915,through
916,throughout
917,throw
918,thus
919,time
920,to
921,today
922,together
923,tonight
924,too
925,top
926,total
927,tough
928,toward
929,town
930,trade
931,traditional
932,training
933,travel
934,treat
935,treatment
936,tree
937,trial
938,trip
939,trouble
940,truth
941,try
942,turn
943,tv
944,two
945,type
946,under
947,understand
948,unit
949,until
950,up
951,upon
952,us
953,use
954,usually
955,value
956,various
957,very
958,victim
959,view
960,violence
961,visit
962,voice
963,vote
964,wait
965,walk
966,wall
967,want
968,war
969,watch
970,water
971,way
972,we
973,weapon
974,wear
975,week
976,weight
977,well
978,west
979,western
980,what
981,whatever
982,when
983,where
984,whether
985,which
986,while
987,white
988,who
989,whole
990,whom
991,whose
992,why
993,wide
994,wife
995,will
996,win
997,wind
998,window
999,wish
1000,with
1001,within
1002,without
1003,woman
1004,wonder
1005,word
1006,work
1007,worker
1008,world
1009,worry
1010,would
1011,write
1012,writer
1013,wrong
1014,yacht
1015,yard
1016,yeah
1017,year
1018,yes
1019,yet
1020,you
1021,young
1022,younger
1023,your
